iter	Logloss
0	0.6426111616
1	0.5883788368
2	0.5490944205
3	0.5190241138
4	0.491856146
5	0.4551145035
6	0.4316531718
7	0.4105539373
8	0.3887600089
9	0.3633407171
10	0.3435795405
11	0.3317568302
12	0.3184250616
13	0.3067705018
14	0.2964434595
15	0.2853361178
16	0.2732450977
17	0.2652687506
18	0.2558449368
19	0.2472891143
20	0.2396886012
21	0.2338832685
22	0.2290049888
23	0.2243333353
24	0.2191130221
25	0.213979811
26	0.2105349799
27	0.2066477068
28	0.2042445672
29	0.2004745236
30	0.1976809237
31	0.1947453283
32	0.1916131383
33	0.1879129858
34	0.1862800981
35	0.1847718253
36	0.1828907185
37	0.1798114107
38	0.1783413291
39	0.175659025
40	0.1744957795
41	0.1722258685
42	0.170813296
43	0.1693619068
44	0.1682069494
45	0.1674482752
46	0.1657819422
47	0.1638444181
48	0.1622977442
49	0.1609814012
50	0.1599173608
51	0.1587518984
52	0.1578343347
53	0.1565431751
54	0.1552007731
55	0.1543291786
56	0.1536251465
57	0.1527163924
58	0.1516652149
59	0.1509955641
60	0.1500166165
61	0.1487686805
62	0.148260566
63	0.147665653
64	0.1469823141
65	0.1464045481
66	0.145597036
67	0.1446140915
68	0.1441116538
69	0.1432935346
70	0.1426577637
71	0.1419991733
72	0.1415968827
73	0.1408925267
74	0.1403203395
75	0.1398538785
76	0.1389905158
77	0.1385365031
78	0.1381550179
79	0.1378390872
80	0.1375877438
81	0.1369794526
82	0.136478862
83	0.136239094
84	0.1356409593
85	0.1351830635
86	0.1347651007
87	0.1335326222
88	0.1327145474
89	0.1321660415
90	0.1317795186
91	0.1314703266
92	0.1310710815
93	0.1302875945
94	0.1299744574
95	0.1296051503
96	0.129201843
97	0.1289393957
98	0.1288109063
99	0.1284986325
100	0.128200849
101	0.1279041501
102	0.1276890095
103	0.1266461271
104	0.1262843566
105	0.1254655194
106	0.1252000006
107	0.124787958
108	0.1245532675
109	0.1240048709
110	0.1238214354
111	0.1235715276
112	0.1232384938
113	0.122927413
114	0.1226621605
115	0.1222573952
116	0.1220381204
117	0.1215890338
118	0.121095977
119	0.1208112197
120	0.1205289559
121	0.1201302097
122	0.1192891812
123	0.1189945341
124	0.1188105212
125	0.1186531093
126	0.1182805015
127	0.1180380093
128	0.1178577425
129	0.1173618571
130	0.1172336153
131	0.1169549229
132	0.1168154962
133	0.1166456375
134	0.116353941
135	0.1161600241
136	0.1159476376
137	0.1153883222
138	0.115176248
139	0.1150428991
140	0.1148180271
141	0.1145078983
142	0.1143725319
143	0.1140671169
144	0.1138276947
145	0.1136082118
146	0.1133712623
147	0.1127702605
148	0.1126316833
149	0.1124399323
150	0.1122884164
151	0.112106229
152	0.1119287797
153	0.1116310431
154	0.1115362727
155	0.1114115415
156	0.110992247
157	0.1107010552
158	0.1104701217
159	0.110250696
160	0.1097466817
161	0.1091010986
162	0.1088819904
163	0.1085243108
164	0.1082500657
165	0.1081389441
166	0.1078966648
167	0.1077832801
168	0.1076244493
169	0.1072602094
170	0.1070471319
171	0.106869215
172	0.1064116243
173	0.1062480972
174	0.1061650001
175	0.1059504416
176	0.105573821
177	0.1054050613
178	0.1051399779
179	0.1048879552
180	0.1047540167
181	0.1043804262
182	0.1042532243
183	0.1040382614
184	0.1038581374
185	0.1037675022
186	0.1035989877
187	0.1034082519
188	0.1033255155
189	0.1031941878
190	0.1030688126
191	0.1027976186
192	0.102644311
193	0.1025235287
194	0.1024095288
195	0.1023429835
196	0.1021844166
197	0.1020701572
198	0.1019165161
199	0.1018272529
200	0.1017148108
201	0.1015234851
202	0.1013717321
203	0.1012532952
204	0.1011166137
205	0.1010511263
206	0.1009877493
207	0.1008424226
208	0.1007508124
209	0.1005430115
210	0.1003869522
211	0.1002480844
212	0.09987916758
213	0.09974527892
214	0.09967406894
215	0.09950428116
216	0.09927317816
217	0.09917999349
218	0.09898699136
